"Ingredients- Common Names","INCI Nomenclature"
"Orange Oil, Bitter","Citrus Aurantium Amara (Bitter Orange) Oil"
"Petitgrain Oil","Citrus Aurantium Amara (Bitter Orange) Oil"
"Bergamot Oil FCF","Citrus Aurantium Bergamia (Bergamot) Fruit Oil"
"Blood Orange Oil","Citrus Aurantium Dulcis (Orange) Oil"
"Orange Oil, Blood","Citrus Aurantium Dulcis (Orange) Oil"
"Orange Oil, Sweet","Citrus Aurantium Dulcis (Orange) Peel Oil"
"Sweet Orange Oil","Citrus Aurantium Dulcis (Orange) Peel Oil"
"Grapefruit Oil","Citrus Grandis (Grapefruit) Peel Oil"
"Grapefruit Oil, Pink","Citrus Grandis (Grapefruit) Peel Oil"
"Grapefruit Oil, Red","Citrus Grandis (Grapefruit) Peel Oil"
"Grapefruit Oil, White","Citrus Grandis (Grapefruit) Peel Oil"
"Lemon Oil","Citrus Medica Limonum (Lemon) Peel Oil"
"Lemon Peel Powder","Citrus Medica Limonum (Lemon) Peel Powder"
"Mandarin Oil","Citrus Nobilis (Mandarin Orange) Peel Oil"
"Tangerine Oil","Citrus Tangerina (Tangerine) Oil"
"Creamed Coconut","Cocos Nucifera"
"Coconut Milk, Organic","Cocos Nucifera (Coconut) Milk, Water, Guar Gum."
"Organic Coconut Milk","Cocos Nucifera (Coconut) Milk, Water, Guar Gum."
"Coconut Oil","Cocos Nucifera (Coconut) Oil"
"Coconut Oil, Virgin","Cocos Nucifera (Coconut) Oil"
"Virgin Coconut Oil","Cocos Nucifera (Coconut) Oil"
"Virgin Oil de Coco-Creme","Cocos Nucifera (Coconut) Oil"
"Oatmeal Powder","Colloidal Oatmeal"
"Myrrh Oil","Commiphora Myrrha Oil"
"Carnauba Wax","Copernicia Cerifera (Carnauba) Wax"
"Hazel Nut Oil","Corylus Americana (Hazel) Seed Oil"
"Abyssinian Oil","Crambe Abyssinica Seed Oil"
"Saffron","Crocus Sativus"
"Pumpkin Seed Oil","Cucurbita Pepo (Pumpkin) Seed Oil"
"Cypress Oil","Cupressus Sempervirens Oil"
"Palmarosa Oil","Cymbopogon Martini Oil"
"Lemongrass Oil","Cymbopogon Schoenanthus Oil"
"Rosewood Oil","Dalbergia (Rosewood) Wood Oil"
"Carrot Oil","Daucus Carota Sativa (Carrot) Root Extract."
"Carrot Seed Oil","Daucus Carota Sativa (Carrot) Seed Oil"
"TEGO® Sulfosuccinate DO 75","Diethylhexyl Sodium Sulfosuccinate"
"MSM","Dimethyl Sulfone"
"EUCAROL AGE EC","Disodium Coco-Glucoside Citrate"
"Varisoft ® EQ 65 Pellets","Distearoylethyl Dimonium Chloride (and) Cetearyl Alcohol"
"Emu Oil","Emu Oil"
"Emulsifying Wax NF","Emulsifying Wax NF"
"Polawax","Emulsifying Wax NF"
"Eucalyptus Citriodora Oil","Eucalyptus Citriodora Leaf Oil"
"Lemon Eucalyptus Oil","Eucalyptus Citriodora Leaf Oil"
"Eucalyptus Gobulus Oil","Eucalyptus Globulus Leaf Oil"
"Eucalyptus Radiata Oil","Eucalyptus Radiata Leaf Oil"
"Eucalyptus Smithii Oil","Eucalyptus Smithii Leaf Oil"
"Clove Bud Oil","Eugenia Caryophyllus (Clove) Flower Oil"
"Stevia Leaf Powder","Eupatorium Rebaudianum Bertoni"
"Stevia Extract","Eupatorium Rebaudianum Bertoni Leaf Extract"
"Stevia Liquid Extract","Eupatorium Rebaudianum Bertoni Leaf Extract, Water, Ascorbic Acid, Potassium Sorbate."
"Candelilla Wax","Euphorbia Cerifera (Candelilla) Wax"
"Oakmoss Absolute","Evernia Prunastri (Oakmoss) Extract"
"Galbanum Oil","Ferula Galbaniflua (Galbanum) Resin Oil"
"Blackberry Flavour","Flavor"
"Flavours, Oil Soluble","Flavor"
"Green Apple Flavour","Flavor"
"Mango Flavour","Flavor"
"Maple Flavour","Flavor"
"Natural Grape Flavour","Flavor"
"Natural Raspberry Flavour","Flavor"
"Pina Colada Flavour","Flavor"
"Root Beer Flavour","Flavor"
"Vanilla Flavour","Flavor"
"Sweet Fennel Oil","Foeniculum Vulgare (Fennel) Oil"
"Essential Oil(s)","Fragrance"
"Fragrance Oil","Fragrance"
"Kelp Bladderwrack Powder","Fucus vesiculosis"
"Bladderwrack Powder, Kelp","Fucus Vesiculosus"
"Kokum Butter","Garcinia Indica Seed Butter"
"Glycerin 99.5%","Glycerin"
"Glyceryl Monosteareate SE","Glyceryl Stearate"
"Soybean Oil","Glycine Soja (Soybean) Oil"
"Glycolic Acid 70% Solution","Glycolic Acid, Water."
"Goat Butter","Goat Butter"
"Goat's Milk","Goat Milk"
"Guar Gum","Guar Hydroxypropyltrimonium Chloride"
"Witch Hazel Distillate","Hamamelis Virginiana (Witch Hazel) Distillate"
"Sunflower Oil","Helianthus Annuus (Sunflower) Seed Oil"
"Helichrysum Oil","Helichrysum Italicum Oil"
"Honey","Honey"
"Almond Butter","Hydrogenated Almond Oil"
"Avocado Butter","Hydrogenated Avocado Oil"
"Canola Butter","Hydrogenated Canola Oil"
"Palm Kernel Oil","Hydrogenated Palm Kernel Oil"
"Palm Butter","Hydrogenated Palm Oil"
"Palm Oil","Hydrogenated Palm Oil"
"CELLOSIZE PCG-10","Hydroxyethylcellulose"
"St. John's Wort Oil","Hypericum Perforatum Oil"
"Hyssop Oil","Hyssopus Officinalis Leaf Oil"
"Black Iron Oxide","Iron Oxides"
"Iron Oxide, Red","Iron Oxides"
"Iron Oxide, Yellow","Iron Oxides"
"IPM","Isopropyl Myristate"
"Isopropyl Myristate","Isopropyl Myristate"
"Jasmine Absolute","Jasminum Officinale (Jasmine) Extract"
"Juniper Berry Oil","Juniperus Communis Fruit Oil"
"Cade Oil Rectified","Juniperus Oxycedrus Wood Oil"
"Kaolin Clay","Kaolin"
"Kaolin USP","Kaolin"
"White Kaolin Clay Powder","Kaolin"
"Lactose","Lactose"
"Laminaria Powder","Laminaria Digitata"
"Anhydrous Lanolin","Lanolin"
"Hydrous Lanolin","Lanolin"
"Lanolin","Lanolin"
"Lard","Lard"
"Lavender Flower Powder","Lavandula Angustifolia (Lavender) Flower Powder"
"Bulgarian Lavender Oil","Lavandula Angustifolia (Lavender) Oil"
"High Alpine Lavender Oil","Lavandula Angustifolia (Lavender) Oil"
"Lavender Oil","Lavandula Angustifolia (Lavender) Oil"
"Lavender Oil, Bulgarian","Lavandula Angustifolia (Lavender) Oil"
"Lavender Oil, French","Lavandula Angustifolia (Lavender) Oil"
"Lavandin Oil","Lavandula Hybrida Oil"
"Spike Lavender Oil","Lavandula Spica Oil"
"Lecithin Granules, Soy","Lecithin"
"Manuka Oil","Leptospermum Scoparium (Manuka) Oil"
"Manuka Oil","Leptospermum Scoparium Oil"
"Meadowfoam Seed Oil","Limnanthes Alba (Meadowfoam) Seed Oil"
"Flax Seed Oil","Linum Usitatissimum (Linseed) Seed Oil"
"Lithothamnium Powder","Lithothamnium Calcareum Powder"
"Litsea Oil","Litsea Cubeba Fruit Oil"
"May Chang Oil","Litsea Cubeba Fruit Oil"
"Macadamia Nut Oil","Macadamia Ternifolia Seed Oil"
"Magnesium Carbonate","Magnesium Carbonate"
"Epsom Salt","Magnesium Sulfate"
"Salt, Epsom","Magnesium Sulfate"
"Manganese Violet","Manganese Violet"
"Mango Butter","Mangifera Indica (Mango) Seed Butter"
"Arrowroot Powder","Maranta Arundinacea (Arrowroot) Root Powder"
"Alfalfa","Medicago Sativa Extract"
"Tea Tree Oil","Melaleuca Alternifolia (Tea Tree) Leaf Oil"
"Cajeput Oil","Melaleuca Leucadendron Cajaputi Oil"
"Niaouli Oil","Melaleuca Leucadendron Viridiflora Oil"
"Melissa Oil","Melissa Officinalis Leaf Oil"
"Peppermint Oil","Mentha Piperita (Peppermint) Oil"
"Spearmint Oil","Mentha Viridis (Spearmint) Leaf Oil"
"Spearmint Powder","Mentha Viridis (Spearmint) Leaf Powder"
"Menthol Liquid, Natural","Menthol, Propylene Glycol"
"Natural Menthol Liquid","Menthol, Propylene Glycol"
"Sweet Birch Oil","Methyl Salicylate"
"Methylcellulose","Methylcellulose"
"Mica","Mica"
"Ruby Mica","Mica, Iron Oxides."
"Sapphire Mica","Mica, Titanium Dioxide, Ferric Ferrocyanide."
"Milk","Milk"
"Red Clay Powder","Montmorillonite"
"Banana","Musa Sapientum (Banana) Fruit"
"Myrtle Oil","Myrtus Communis Oil"
"Catnip Oil","Nepeta Cataria Oil"
"Black Cumin Seed","Nigella sativa (Black Cumin) Seed Oil."
"Milk Powder, Skim","Nonfat Dry Milk"
"Basil Oil","Ocimum Basillicum (Basil) Oil"
"Evening Primrose Oil","Oenothera Biennis (Evening Primrose) Oil"
"Olive Oil","Olea Europaea (Olive) Oil"
"Extra Virgin (Olive oil) Organic","Olea Europaea (Olive) Oil"
"Frankincense Oil","Olibanum"
"Babassu Oil","Orbignya Oleifera (Babassu) Seed Oil"
"Oregano Oil","Oreganum Vulgare Leaf Oil"
"Sweet Marjoram Oil","Origanum Majorana Leaf Oil"
"Rice Bran Oil","Oryza Sativa (Rice) Bran Oil"
"Rice Powder","Oryza Sativa (Rice) Powder"
"Palm Wax","Palm Wax"
"Organic Dulse Powder","Palmaria Palmata"
"Panthenol","Panthenol"
"Poppyseed","Papaver Somniferum Seed"
"Geranium Oil","Pelargonium Graveolens Oil"
"Rose Geranium Oil","Pelargonium Graveolens Oil"
"Avocado","Persea Gratissima"
"Avocado Oil","Persea Gratissima (Avocado) Oil"
"Dill Weed Oil","Peucedanum Graveolens (Dill) Oil"
"Anise Oil","Pimpinella Anisum (Anise) Fruit Oil"
"Pine Oil","Pinus Sylvestris Leaf Oil"
"Scotch Pine Oil","Pinus Sylvestris Leaf Oil"
"Black Pepper Oil","Piper Nigrum (Black Pepper) Seed Oil"
"Patchouli Oil","Pogostemon Cablin Oil"
"Fuchsia Glitter","Polyethylene Terephthalate"
"Glitter","Polyethylene Terephthalate"
"Polysorbate 20","Polysorbate 20"
"Tween 20","Polysorbate 20"
"Polysorbate 80","Polysorbate 80"
"Potassium Sorbate","Potassium Sorbate"
"Zemea® Propanediol","Propanediol"
"Propylene Glycol","Propylene Glycol"
"Almond Oil","Prunus Amygdalus Dulcis (Sweet Almond) Oil"
"Arnica Oil","Prunus Amygdalus Dulcis (Sweet Almond) Oil, Arnica Cordifolia"
"Apricot Kernel Oil","Prunus Armeniaca (Apricot) Kernel Oil"
"Pumice Powder","Pumice"
"Varisoft ® EQ 100","Quaternium-98"
"Ravensara Oil","Ravensara Aromatica Oil"
"Black Jamaican Castor Oil","Ricinus Communis (Castor) Seed Oil"
"Castor Oil","Ricinus Communis (Castor) Seed Oil"
"Rose Hip Oil","Rosa Canina Fruit Oil"
"Rose Hip Powder","Rosa Canina Seed Powder"
"Rose Absolute","Rosa Centifolia Flower Extract"
"Rose Absolute","Rosa Centifolia Flower Extract."
"Rose Distillate","Rosa Damascena (Rose) Flower Distillate"
"Rose Otto Oil","Rosa Damascena Flower Oil"
"Rose Petal Powder","Rose Petal Powder"
"Rosin","Rosin"
"ROE","Rosmarinus Officinalis (Rosemary) Leaf Extract"
"Rosemary Extract","Rosmarinus Officinalis (Rosemary) Leaf Extract"
"Rosemary Oleoresin Extract","Rosmarinus Officinalis (Rosemary) Leaf Extract"
"Spanish Rosemary Oil","Rosmarinus Officinalis (Rosemary) Leaf Oil"
"Tunisian Rosemary Oil","Rosmarinus Officinalis (Rosemary) Leaf Oil"
"Chia Seed Oil","Salvia Hispanica (Chia) Oil"
"Sage Oil","Salvia Officinalis Oil"
"Sandalwood Oil","Santalum Album (Sandalwood) Oil"
"Sandalwood Oil","Santalum Album (Sandalwood) Oil."
"Soapwort Root Powder","Saponasia Officinalis (Soapwort) Root Powder"
"Marula Oil","Sclerocarya Birrea (Marula) Seed Oil"
"Sea Buckthorn Oil","Sea Buckthorn (Hippophae Rhamnoides) Oil"
"Fine Sea Salt","Sea Salt, Magnesium Carbonate."
"Salt, Fine Sea","Sea Salt, Magnesium Carbonate."
"Sal Butter","Shorea Robusta Seed Oil"
"Silk Amino Acids","Silk Amino Acids"
"Jojoba Oil","Simmondsia Chinensis (Jojoba) Seed Oil"
"Roman Chamomile Oil 10% in Jojoba","Simmondsia Chinensis (Jojoba) Seed Oil, Anthemis Nobilis Flower Oil."
"Neroli Oil 5% in Jojoba","Simmondsia Chinensis (Jojoba) Seed Oil, Citrus Aurantium Amara (Bitter Orange) Oil."
"Myrrh Oil 10% in Jojoba","Simmondsia Chinensis (Jojoba) Seed Oil, Commiphora Myrrha Oil."
"Apricot Kernel Oil Soap","Sodium Apricot Kernelate"
"Avocado Oil Soap","Sodium Avocadate"
"Babassu Oil Soap","Sodium Babassuate"
"Beeswax Soap","Sodium Beeswax"
"Sodium Benzoate","Sodium Benzoate"
"Baking Soda","Sodium Bicarbonate"
"Sodium Bicarbonate","Sodium Bicarbonate"
"Canola Oil Soap","Sodium Canolate"
"Soda Ash","Sodium Carbonate"
"Sodium Carbonate","Sodium Carbonate"
"Castor Oil Soap","Sodium Castorate"
"Coarse Salt","Sodium Chloride"
"Salt, Coarse","Sodium Chloride"
"Hazel Nut Oil Soap","Sodium Hazel Seedate"
"Hemp Seed Oil Soap","Sodium Hemp Seedate"
"Kukui Nut Oil Soap","Sodium Kukui Seedate"
"Lard Soap","Sodium Lardate"
"Macadamia Nut Oil Soap","Sodium Macadamia Seedate"
"Mango Butter Soap","Sodium Mango Butterate"
"Sodium Nitrate","Sodium Nitrate"
"Olive Oil Soap","Sodium Olivate"
"Palm Kernel Oil Soap","Sodium Palm Kernelate"
"Palm Oil Soap","Sodium Palmate"
"Rosin Soap","Sodium Rosinate"
"Stearic Acid Soap","Sodium Stearate"
"Tallow Soap","Sodium Tallowate"
"Powdered Soap","Sodium Tallowate, Sodium Cocoate."
"Soap Powder","Sodium Tallowate, Sodium Cocoate."
"Spinach Powder","Spinacia Oleracea (Spinach)"
"Stearic Acid","Stearic Acid"
"Stearyl Alcohol","Stearyl Alcohol"
"Brown Sugar","Sucrose"
"Sulfated Castor Oil","Sulfated Ricinus Communis (Castor) Seed Oil -OR- Sulfated Castor Oil"
"Turkey Red Oil","Sulfated Ricinus Communis (Castor) Seed Oil -OR- Sulfated Castor Oil"
"Comfrey Root Powder","Symphytum Officinale Root Powder"
"Tallow","Tallow"
"EDTA, Tetrasodium","Tetrasodium EDTA"
"Tetrasodium EDTA","Tetrasodium EDTA"
"Cocoa Butter, Raw","Theobroma Cacao (Cocoa) Seed Butter"
"Cocoa Butter, Wild Crafted","Theobroma Cacao (Cocoa) Seed Butter"
"Raw Cocoa Butter","Theobroma Cacao (Cocoa) Seed Butter"
"Wild Crafted Cocoa Butter","Theobroma Cacao (Cocoa) Seed Butter"
"Cocoa-Shea Butter","Theobroma Cacao (Cocoa) Seed Butter, Butyrospermum Parkii (Shea Butter) fruit"
"Thyme Oil Linalol","Thymus Vulgaris (Thyme) Oil"
"Titanium Dioxide","Titanium Dioxide"
"Emerald Mica","Titanium Dioxide, Iron Oxides, Mica, Chromium Oxide Green."
"Natural Vitamin E","Tocopherol"
"Vitamin E","Tocopherol"
"Vitamin E Natural","Tocopherol"
"TEA","Triethanolamine"
"Wheatgerm Oil","Triticum Vulgare (Wheat) Germ Oil"
"Spruce Oil","Tsuga Canadensis Leaf Oil"
"Nettles Leaf Powder","Urtica Dioica (Nettle)"
"Valerian Root Oil","Valeriana Officinalis Root Oil"
"Vanilla Absolute","Vanilla Planifolia Extract"
"Vetiver Oil","Vetivera Zizanoides Root Oil"
"Grape Seed Oil","Vitis Vinifera (Grape) Seed Oil"
"Iselux ® SLC","Water (and) Sodium Lauroyl Methyl Isethionate (and) Sodium Lauroamphoacetate (and) Cocamide MIPA"
"Seaweed Extract","Water, Fucus Vesiculosis Extract, Propylene Glycol."
"Milk Powder","Whole Dry Milk"
"Xanthan Gum","Xanthan Gum"
"Orange Colour","Yellow 6, Propylene Glycol, Water."
"Cornstarch","Zea Mays (Corn) Starch"
"Zinc Oxide","Zinc Oxide"
"Ginger Oil","Zingiber Officinale (Ginger) Root Oil"
